Date,Customer_ID,Gender,Age,Region,Acquisition_Channel,Lead_Source,Device_Type,Product_Plan,Subscription_Type,Monthly_Revenue,Discount_Amount,Net_Revenue,Marketing_Cost,Sales_Cost,Support_Cost,Payment_Mode,Is_Renewed,Is_Churned,Customer_Lifetime_Months,Customer_Satisfaction_Score,Employees_Count
1/3/2023,CUST109762,Male,18,UK,Organic,App,Web,Basic,Monthly,8939.59,1549.21,7390.38,1566.74,2847.74,1825.97,Wallet,1,1,40,3.7,12
1/3/2023,CUST107319,Female,20,UAE,Social Media,Partner,Tablet,Standard,Monthly,14135.28,1069.12,13066.16,4276.87,463.67,174.87,Wallet,1,1,40,2.7,168
1/3/2023,CUST101177,Male,31,UK,Social Media,App,Web,Standard,Monthly,4256.62,7.13,4249.49,2679.85,524.71,1115.12,Credit Card,1,0,58,2.5,219
1/3/2023,CUST102926,Female,58,UAE,Organic,App,Tablet,Premium,Monthly,5575.1,1893.83,3681.27,5857.78,726.04,389.95,Debit Card,1,0,4,2.6,62
1/3/2023,CUST103501,Male,23,Canada,Referral,Website,Tablet,Basic,Monthly,11686.35,1490.15,10196.2,2381.31,928.27,1788.27,Wallet,1,0,39,3.2,69
1/4/2023,CUST100989,Female,55,USA,Organic,Partner,Mobile,Premium,Monthly,6448.61,1117.91,5330.7,1148.55,3044.41,514.61,UPI,1,0,15,3.5,207
1/4/2023,CUST108019,Female,25,India,Paid Ads,Partner,Mobile,Premium,Quarterly,18505,1074.03,17430.97,1232.91,510.83,543.65,Debit Card,1,1,36,2.7,277
1/4/2023,CUST104311,Male,38,Canada,Email,Website,Web,Basic,Monthly,2494.13,2128.62,365.51,5305.59,3139.06,521.95,Credit Card,0,0,15,4.6,92
1/4/2023,CUST105515,Female,48,India,Referral,App,Mobile,Basic,Quarterly,10476.19,2300.85,8175.34,725.8,1355.89,894.27,Net Banking,1,0,39,3.3,42
1/4/2023,CUST100722,Female,35,India,Referral,App,Tablet,Basic,Monthly,16686.72,1495.54,15191.18,3221.7,3297.43,400.02,UPI,1,0,36,3,42
1/5/2023,CUST100772,Male,43,Canada,Referral,Partner,Mobile,Premium,Yearly,15025.49,1486.17,13539.32,3891.89,1230.05,1571.96,Wallet,1,0,22,3.8,123
1/5/2023,CUST102911,Female,27,UAE,Organic,Sales Team,Mobile,Standard,Quarterly,3021.74,2438.91,582.83,5594.78,3563.07,311.8,UPI,1,0,37,2.7,238
1/5/2023,CUST105424,Female,54,India,Social Media,Sales Team,Mobile,Standard,Monthly,1191.71,1306.24,-114.53,3635.47,3220.98,987.65,Debit Card,1,0,47,2.9,273
1/5/2023,CUST104010,Male,19,UK,Social Media,App,Web,Basic,Monthly,6061.25,1647.18,4414.07,3720.69,3914.11,512.12,Wallet,0,0,59,4.1,147
1/5/2023,CUST100307,Female,25,USA,Organic,App,Web,Basic,Yearly,5742.83,2069.58,3673.25,1688.73,3599.96,1301.04,UPI,0,0,59,3,147
1/5/2023,CUST108952,Male,33,India,Social Media,Website,Web,Standard,Monthly,3356.23,2349.14,1007.09,1923.76,1855.66,1615.95,Credit Card,1,0,47,2.6,188
1/6/2023,CUST107643,Female,27,UK,Paid Ads,Partner,Tablet,Premium,Quarterly,2632.96,906.57,1726.39,5595.18,1771.42,1624.75,Net Banking,1,0,24,3.5,112
1/6/2023,CUST104066,Female,23,UK,Referral,App,Mobile,Standard,Monthly,16178.84,2627.07,13551.77,5879.81,1775.91,1703.41,Credit Card,1,0,45,2.7,85
1/6/2023,CUST100719,Male,30,Canada,Referral,Website,Web,Basic,Yearly,15840.57,835.23,15005.34,4555.77,3982.39,1420.26,UPI,0,0,7,4.1,113
1/6/2023,CUST103829,Female,31,USA,Social Media,Sales Team,Tablet,Premium,Monthly,3894.03,2682.85,1211.18,3324.38,1416.35,1201.31,Credit Card,0,0,34,4.7,209
1/6/2023,CUST104140,Female,48,UK,Referral,Partner,Web,Basic,Monthly,8343.66,187.18,8156.48,1622.23,3184.02,310.2,UPI,0,0,56,3.9,239
1/6/2023,CUST106007,Female,45,UK,Referral,Sales Team,Tablet,Premium,Quarterly,532,2516.59,-1984.59,256.55,3141,855.05,Debit Card,1,0,13,3.3,10
1/7/2023,CUST101388,Male,20,India,Organic,App,Tablet,Basic,Monthly,572.68,1957.91,-1385.23,351.33,786.44,248.46,Wallet,1,0,26,4.4,215
1/7/2023,CUST107822,Male,20,UK,Email,App,Web,Basic,Monthly,6014.21,1155.42,4858.79,5383.9,3245.9,1803.39,UPI,1,0,32,4.5,172
1/7/2023,CUST102545,Female,50,India,Referral,App,Mobile,Premium,Monthly,17712.38,58.22,17654.16,3594.73,2984.72,1056.59,Wallet,0,0,14,3.4,146
1/7/2023,CUST109390,Female,43,USA,Email,Partner,Tablet,Premium,Monthly,10902.66,1127.41,9775.25,2352.25,3912.38,1264.88,Credit Card,1,0,44,3.5,156
1/7/2023,CUST108120,Female,35,USA,Social Media,Partner,Tablet,Basic,Quarterly,9477.12,1739.03,7738.09,1632.62,822.34,1540.2,Debit Card,1,0,17,3.9,23
1/7/2023,CUST101224,Female,42,USA,Email,App,Web,Standard,Monthly,14726.89,654.83,14072.06,2205.34,904.98,1349.06,Debit Card,0,0,36,4.5,113
1/7/2023,CUST106051,Male,42,Canada,Paid Ads,Sales Team,Mobile,Standard,Monthly,9387.95,344.11,9043.84,1850.24,527.29,383.28,UPI,1,0,48,2.6,81
1/7/2023,CUST100954,Male,29,USA,Paid Ads,Partner,Mobile,Basic,Monthly,13037.89,2307.94,10729.95,3373.21,2032.96,461.38,UPI,1,1,44,4.4,32
1/7/2023,CUST104491,Female,50,USA,Social Media,Sales Team,Mobile,Premium,Monthly,5766.39,761.16,5005.23,2586.56,1688.1,71.91,Wallet,0,0,5,3.5,124
1/8/2023,CUST108958,Male,48,UK,Social Media,App,Web,Basic,Monthly,13634.48,249.96,13384.52,5823.7,540,1072.46,Credit Card,1,1,36,2.5,75
1/8/2023,CUST100655,Female,52,USA,Organic,Website,Web,Basic,Monthly,10900.76,472.83,10427.93,894.67,3115.95,135.95,UPI,0,0,9,3,65
1/8/2023,CUST108469,Male,50,India,Email,Sales Team,Web,Basic,Monthly,14259.65,2236.55,12023.1,5648.35,1346.65,1042.36,Net Banking,0,0,35,4.9,131
1/8/2023,CUST102239,Male,19,Canada,Social Media,App,Web,Basic,Yearly,11145.37,2218.95,8926.42,3009.79,799.45,593.57,Credit Card,1,0,40,4.8,222
1/8/2023,CUST102959,Male,33,Canada,Referral,Website,Tablet,Premium,Monthly,1141.49,1065.93,75.56,2019.27,3796.44,1217.17,Wallet,1,0,2,4.4,177
1/8/2023,CUST104046,Male,50,India,Referral,App,Mobile,Basic,Quarterly,13211.16,1309.24,11901.92,4347.58,3356.38,138.27,UPI,1,0,6,4.6,137
1/8/2023,CUST104434,Male,34,UAE,Organic,Website,Web,Basic,Monthly,8271.34,800.93,7470.41,5540.7,488.2,397.91,UPI,1,1,47,3.5,142
1/9/2023,CUST100194,Female,34,USA,Social Media,Partner,Tablet,Basic,Monthly,17566.58,2155.05,15411.53,2253.11,3732.73,317.69,Credit Card,1,1,55,4,104
1/9/2023,CUST104633,Male,56,UAE,Email,Website,Mobile,Standard,Quarterly,11400.66,1658.12,9742.54,751.05,3032.16,72.09,Debit Card,1,0,4,3,274
1/9/2023,CUST108045,Female,45,USA,Social Media,App,Web,Premium,Monthly,4200.08,1935.4,2264.68,1543.67,3374.11,697.33,Credit Card,1,0,19,3.1,289
1/9/2023,CUST107443,Female,55,USA,Social Media,App,Tablet,Basic,Monthly,726.67,1379.8,-653.13,3895.38,3268,1838.29,Credit Card,1,0,32,3.5,69
1/9/2023,CUST106110,Female,21,UAE,Email,Sales Team,Mobile,Basic,Monthly,16767.4,2082.3,14685.1,3138.39,1956.42,381.79,Net Banking,1,0,20,4.1,253
1/9/2023,CUST101380,Male,27,UAE,Paid Ads,Website,Tablet,Standard,Quarterly,10996.98,2993.17,8003.81,4416.68,268.4,284.96,Credit Card,1,0,41,3,125
1/10/2023,CUST107418,Male,57,UAE,Referral,Partner,Web,Basic,Quarterly,17645.26,911.06,16734.2,1263.73,709.74,1033.94,UPI,0,0,36,4.5,102
1/10/2023,CUST100751,Male,31,Canada,Organic,Partner,Tablet,Basic,Monthly,5583.24,350.75,5232.49,1784.11,2917.84,1370.3,Net Banking,1,0,9,3.6,70
1/10/2023,CUST108688,Female,54,UAE,Organic,Website,Mobile,Standard,Monthly,892.31,1251.04,-358.73,5418.9,840.83,1641.39,Credit Card,1,0,7,3.5,116
1/10/2023,CUST102983,Male,53,India,Referral,Sales Team,Mobile,Standard,Monthly,14115.22,1105.39,13009.83,5058.43,1022.48,965.6,Wallet,1,1,32,4.9,196
1/10/2023,CUST101644,Male,27,USA,Referral,Partner,Web,Basic,Monthly,11490.43,2717.97,8772.46,4904.42,2623.23,1928.85,Credit Card,0,1,52,3.8,271
1/10/2023,CUST105928,Male,24,USA,Paid Ads,App,Mobile,Standard,Monthly,1504.99,2907.23,-1402.24,957.88,182.79,1516.33,Debit Card,1,1,52,2.7,126
1/10/2023,CUST100527,Male,34,India,Email,Sales Team,Web,Basic,Monthly,13289.96,768.41,12521.55,382.21,3850.17,149.53,Debit Card,0,0,55,3.3,108
1/10/2023,CUST103094,Female,23,India,Referral,Sales Team,Web,Basic,Monthly,15689.29,1856.77,13832.52,497.67,654.61,1235.13,Debit Card,0,0,16,3.5,284
1/11/2023,CUST108956,Female,21,UAE,Referral,Website,Tablet,Basic,Monthly,14025.1,1966.73,12058.37,2731.61,3223.83,1097.44,Credit Card,1,1,32,4.3,53
1/11/2023,CUST100829,Male,36,USA,Email,Partner,Tablet,Premium,Monthly,7240.46,2783.22,4457.24,1196.68,3824.17,1994.14,Credit Card,1,0,55,2.5,45
1/11/2023,CUST107507,Male,47,Canada,Social Media,Sales Team,Mobile,Basic,Monthly,12642.37,222.81,12419.56,3669.06,1785.54,454.94,Net Banking,0,1,28,3.9,155
1/11/2023,CUST106909,Female,33,Canada,Organic,Partner,Tablet,Basic,Quarterly,8025.9,2369.19,5656.71,5915.28,2874.11,1415.34,Credit Card,1,0,33,2.6,185
1/11/2023,CUST103761,Female,47,USA,Organic,App,Web,Basic,Quarterly,17832.51,1856.45,15976.06,636.17,2411.29,1585.69,Debit Card,1,1,17,3,63
1/11/2023,CUST101026,Female,43,UAE,Email,Sales Team,Mobile,Premium,Quarterly,2736.71,84.43,2652.28,3786,3150.13,295.31,UPI,1,0,42,4.9,247
1/11/2023,CUST109826,Male,37,UK,Referral,Website,Tablet,Standard,Monthly,11127.46,1988.25,9139.21,5202.49,2229.89,1512.79,Net Banking,0,0,32,4.9,137
1/11/2023,CUST101154,Female,52,UK,Referral,Website,Web,Premium,Monthly,1777.43,2331.01,-553.58,5150.19,1576.8,1279.63,UPI,0,0,53,4.6,270
1/11/2023,CUST105461,Female,45,India,Referral,Sales Team,Tablet,Premium,Monthly,15306.09,2757.03,12549.06,3103.87,2249.35,1624.52,Wallet,0,0,6,4.5,266
1/11/2023,CUST109557,Female,42,UAE,Organic,Partner,Tablet,Standard,Yearly,8041.52,458.14,7583.38,1305.22,1854.1,1918.76,Wallet,1,1,2,2.6,69
1/11/2023,CUST101347,Male,57,India,Social Media,Website,Web,Basic,Monthly,5611.79,2228.89,3382.9,3444.42,3865.15,338.95,Credit Card,0,1,18,2.7,247
1/12/2023,CUST107000,Female,44,UAE,Paid Ads,Partner,Web,Premium,Quarterly,17633.21,1312.8,16320.41,1003.35,3405.46,1428.34,Credit Card,0,0,52,3.2,153
1/12/2023,CUST101589,Female,26,India,Email,Website,Web,Basic,Quarterly,19451.52,2079.32,17372.2,995.88,3131.78,1264.73,UPI,1,0,53,2.8,288
1/12/2023,CUST101766,Female,34,India,Email,Website,Mobile,Basic,Monthly,1722.97,1508.6,214.37,3869.23,2954.52,899.43,Credit Card,1,0,29,4.6,293
1/12/2023,CUST101065,Female,41,UAE,Referral,Partner,Tablet,Standard,Monthly,11012.92,2115.56,8897.36,4186.55,3329.87,1954.41,Net Banking,1,0,51,4.1,113
1/12/2023,CUST104324,Male,35,USA,Social Media,Sales Team,Tablet,Basic,Monthly,18594.53,998.55,17595.98,399.81,2732.96,1889.97,UPI,0,0,48,2.9,126
1/12/2023,CUST108534,Female,37,India,Organic,Sales Team,Tablet,Standard,Monthly,19919.6,2332.58,17587.02,4675.91,178.04,733.03,Debit Card,1,0,5,3.6,269
1/12/2023,CUST104645,Female,30,Canada,Organic,Sales Team,Tablet,Standard,Monthly,18467.57,264.35,18203.22,4369.72,1339.18,713.56,Wallet,1,0,40,3.3,136
1/12/2023,CUST102858,Female,56,UK,Paid Ads,Website,Web,Premium,Yearly,9686.19,658.44,9027.75,3042.25,2933.43,1196.36,Net Banking,1,0,34,4.2,94
1/12/2023,CUST104349,Male,47,USA,Email,Sales Team,Tablet,Standard,Monthly,14622.86,379.97,14242.89,5985.54,2276.77,883.86,Debit Card,1,0,20,2.8,117
1/12/2023,CUST100380,Female,59,USA,Paid Ads,App,Tablet,Premium,Monthly,3465.14,1858.86,1606.28,4968.64,185.05,1238.31,Debit Card,1,1,30,3.6,235
1/12/2023,CUST107775,Male,33,USA,Referral,Sales Team,Tablet,Basic,Quarterly,15669.34,602.85,15066.49,2187.94,175.02,1980.97,UPI,1,1,2,3.3,208
1/12/2023,CUST104225,Female,34,UAE,Social Media,Sales Team,Web,Premium,Monthly,8712.79,1317.09,7395.7,3143.43,3587.42,1169.93,Wallet,0,1,36,4.3,217
1/12/2023,CUST107965,Female,35,UAE,Email,App,Web,Premium,Monthly,15389.07,2006.53,13382.54,1922.61,1238.72,1771.27,Debit Card,0,0,5,3.3,83
1/12/2023,CUST109002,Female,41,Canada,Email,Website,Mobile,Standard,Yearly,6791.25,216.22,6575.03,4385.72,1930.24,1227.07,Net Banking,1,0,8,3.6,295
1/13/2023,CUST107444,Male,19,India,Organic,Partner,Tablet,Premium,Monthly,10015.16,2841.9,7173.26,4006.53,3326.37,377.11,Net Banking,1,0,38,3.4,226
1/13/2023,CUST107600,Male,25,UAE,Email,Partner,Web,Premium,Monthly,11080.51,463.86,10616.65,1450.32,1158.99,831.23,UPI,1,0,43,3.3,214
1/13/2023,CUST106376,Male,27,Canada,Paid Ads,App,Web,Standard,Monthly,8676.19,1174.13,7502.06,2589.86,1451.89,1884.76,Credit Card,1,0,43,2.6,271
1/13/2023,CUST104080,Male,37,UK,Social Media,Partner,Mobile,Basic,Monthly,17199.55,2904.54,14295.01,2112.01,748.44,1958.57,Wallet,1,0,40,3.3,237
1/13/2023,CUST103865,Male,35,Canada,Email,Partner,Mobile,Premium,Monthly,18702.83,1451.63,17251.2,1256.75,480.09,165.82,Debit Card,0,0,31,4.7,109
1/13/2023,CUST103686,Male,43,UAE,Organic,Partner,Web,Standard,Monthly,5193.99,10.66,5183.33,500.86,2620.31,335.26,UPI,1,0,31,3.6,228
1/13/2023,CUST105149,Female,36,UAE,Email,App,Web,Basic,Monthly,18832.22,1099.43,17732.79,3988.19,2576.83,1249.55,Credit Card,0,0,37,3.2,155
1/13/2023,CUST100755,Male,45,UK,Email,Sales Team,Tablet,Standard,Monthly,10901.67,2914.07,7987.6,4258.33,1184.56,397.13,Wallet,1,0,10,2.5,299
1/13/2023,CUST109492,Male,32,Canada,Email,Website,Tablet,Standard,Quarterly,6683.6,42.98,6640.62,5001.99,2783.02,593.86,UPI,1,0,42,3.4,177
1/13/2023,CUST109288,Male,48,UK,Paid Ads,Sales Team,Mobile,Premium,Monthly,5753.67,2420.27,3333.4,5556.04,366.88,902.1,UPI,1,1,53,3.1,168
1/13/2023,CUST109844,Female,32,UK,Email,Partner,Mobile,Basic,Yearly,18891.59,1775.48,17116.11,4446.12,3068.75,1519.65,Net Banking,1,0,40,4.8,194
1/13/2023,CUST104995,Female,21,UAE,Social Media,Partner,Tablet,Premium,Quarterly,2777.26,2717.17,60.09,1340.7,2998.81,1373.95,Net Banking,1,0,35,5,54
1/14/2023,CUST107187,Male,20,India,Paid Ads,Website,Tablet,Basic,Monthly,6493.29,2185.92,4307.37,3309.43,1993.26,1895.43,UPI,1,0,13,3.3,238
1/14/2023,CUST104942,Female,37,UK,Email,App,Tablet,Standard,Monthly,14477.59,1431.47,13046.12,3737.87,1770.07,1878.15,Credit Card,0,0,10,3,56
1/14/2023,CUST101398,Female,56,USA,Paid Ads,Sales Team,Web,Basic,Quarterly,7951.05,2822.08,5128.97,414.63,3683.99,1340.57,Credit Card,0,0,40,4.4,167
1/14/2023,CUST105985,Female,28,UK,Social Media,Website,Mobile,Basic,Quarterly,6296.16,2208.7,4087.46,1746.24,1242.27,134.51,Debit Card,1,0,19,4.1,97
1/14/2023,CUST107479,Female,43,Canada,Social Media,Website,Tablet,Basic,Monthly,18034.42,846.64,17187.78,1653.25,411.49,1764.51,UPI,1,1,58,4.4,91
1/14/2023,CUST109381,Female,29,USA,Paid Ads,Website,Web,Premium,Monthly,8676.36,477.08,8199.28,3787.37,1505.3,1732.72,UPI,1,0,47,4.9,97
1/14/2023,CUST105686,Male,19,USA,Social Media,Partner,Mobile,Standard,Monthly,10262.8,2088.46,8174.34,3685.61,3668.15,605.17,Wallet,1,0,17,2.5,128
1/14/2023,CUST101466,Female,45,UAE,Organic,App,Tablet,Premium,Monthly,18050.2,1623.39,16426.81,707.91,939.37,1827.31,UPI,0,0,14,3.7,61
1/14/2023,CUST100038,Female,38,Canada,Email,Sales Team,Tablet,Basic,Yearly,7413.06,1082.18,6330.88,3649.51,329.74,522.66,Wallet,1,1,24,3.6,210
1/14/2023,CUST108926,Female,19,UK,Email,Partner,Tablet,Standard,Quarterly,794.96,1718.77,-923.81,4289.42,3122.3,1730.95,Debit Card,0,0,22,3.7,275
1/15/2023,CUST109136,Male,24,India,Email,App,Mobile,Basic,Monthly,15170.58,220.56,14950.02,1392.53,2353.56,1628.39,Net Banking,1,1,37,4.5,256
1/15/2023,CUST102917,Male,53,USA,Paid Ads,Sales Team,Web,Basic,Quarterly,6249.88,1237.48,5012.4,3808.13,3753.37,1792.8,UPI,1,0,45,3.3,132
1/15/2023,CUST104637,Male,46,UK,Email,App,Mobile,Premium,Monthly,14904.88,1251.2,13653.68,1944.86,2744.64,86.83,Credit Card,1,0,48,2.6,257
1/15/2023,CUST100819,Female,40,Canada,Paid Ads,Website,Web,Basic,Quarterly,11264.77,1569.09,9695.68,5893.09,3827.44,456.16,Wallet,0,0,29,4.5,215
1/15/2023,CUST104796,Female,47,Canada,Paid Ads,App,Mobile,Standard,Monthly,1184.63,1387.49,-202.86,5071.15,3643.65,1062.97,Wallet,0,1,43,3.1,268
1/15/2023,CUST100074,Male,54,USA,Paid Ads,Website,Tablet,Standard,Quarterly,14930.82,1310.19,13620.63,1834.2,2294.12,1509.87,UPI,1,1,53,3,292
1/16/2023,CUST106457,Female,50,Canada,Social Media,Sales Team,Web,Premium,Monthly,16620.74,452.45,16168.29,5278.97,2728.14,1590.12,Credit Card,1,0,31,3.6,140
1/16/2023,CUST105864,Male,18,UK,Email,Website,Tablet,Basic,Monthly,6812.85,1179.24,5633.61,5523.54,2477.88,1640.73,UPI,1,0,37,4.3,257
1/16/2023,CUST106926,Female,31,Canada,Referral,Sales Team,Mobile,Basic,Monthly,6541.15,857.63,5683.52,693.3,1042.94,164.76,Net Banking,1,1,5,2.8,159
1/16/2023,CUST109875,Male,47,Canada,Social Media,Partner,Tablet,Basic,Monthly,4376.29,1163.76,3212.53,259.92,2508.33,1251.84,Debit Card,0,0,4,3.7,130
1/16/2023,CUST106394,Female,53,India,Social Media,Website,Tablet,Premium,Yearly,7481.64,1038.41,6443.23,5336.21,3151.04,223.25,Credit Card,1,0,21,4.8,33
1/16/2023,CUST101111,Female,48,India,Organic,Partner,Web,Basic,Monthly,1380.85,1331.89,48.96,4063.59,3477.22,1360.02,Wallet,0,0,16,3.4,261
1/16/2023,CUST109454,Female,57,UAE,Paid Ads,Website,Mobile,Premium,Monthly,7613.95,703.2,6910.75,2862.73,428.2,516.04,Debit Card,1,0,14,3.6,135
1/16/2023,CUST104303,Female,51,India,Paid Ads,Sales Team,Web,Basic,Monthly,17989.05,2627.69,15361.36,4301.54,1437.17,441.36,Wallet,1,0,3,4,160
1/16/2023,CUST106035,Male,38,India,Paid Ads,Partner,Web,Basic,Yearly,6089.04,2109.14,3979.9,1076.54,1280.54,289.16,Net Banking,0,0,13,4.2,127
1/16/2023,CUST109645,Male,23,Canada,Organic,App,Mobile,Basic,Monthly,13243.45,1644.13,11599.32,4684.44,572.57,317.4,Wallet,0,1,22,4,285
1/16/2023,CUST105442,Female,20,India,Organic,Sales Team,Tablet,Premium,Yearly,18343.96,2675.51,15668.45,1598.36,390.31,502.4,UPI,0,0,3,3.6,251
1/17/2023,CUST103444,Male,52,Canada,Email,Partner,Web,Standard,Monthly,10156.51,842.51,9314,3956.3,1992.25,417.04,Wallet,1,0,23,4.3,176
1/17/2023,CUST104227,Female,30,UK,Email,Website,Web,Basic,Yearly,8125.23,1807.25,6317.98,1454.66,1587.22,1251.94,UPI,1,1,34,2.7,123
1/17/2023,CUST101239,Male,33,UAE,Email,Sales Team,Mobile,Standard,Monthly,7950.25,2992.89,4957.36,4905.34,1924.79,1369.59,Credit Card,1,1,36,3.1,75
1/17/2023,CUST105754,Female,32,India,Social Media,Partner,Mobile,Standard,Yearly,7981.03,2887.13,5093.9,3627.73,799.2,1340.02,Credit Card,0,0,53,2.9,164
1/17/2023,CUST106441,Male,45,India,Paid Ads,Website,Mobile,Standard,Monthly,16253.43,2933.05,13320.38,1905.05,3726.79,1191.17,Debit Card,1,0,54,3.1,82
1/17/2023,CUST101887,Female,29,USA,Paid Ads,Partner,Web,Premium,Monthly,15169.97,1778.39,13391.58,3386.45,2165.18,1047.51,Net Banking,1,0,24,4.9,173
1/17/2023,CUST102838,Male,29,Canada,Organic,App,Tablet,Premium,Monthly,2566.73,1128.62,1438.11,456.03,1221.26,1087.57,Credit Card,0,0,26,3.6,186
1/17/2023,CUST100241,Male,57,UK,Referral,Partner,Tablet,Premium,Monthly,9946.63,533.87,9412.76,5529.69,1792.05,635.88,UPI,1,0,57,4.5,202
1/17/2023,CUST103198,Female,53,UAE,Paid Ads,App,Tablet,Premium,Monthly,17617.69,2722.48,14895.21,3994.88,2515.78,872.8,UPI,1,0,2,4.5,33
1/17/2023,CUST107787,Female,44,India,Email,Partner,Web,Basic,Monthly,859.29,2268.13,-1408.84,952.85,1223.06,148.79,UPI,1,0,5,4.1,152
1/18/2023,CUST108276,Female,24,Canada,Referral,Sales Team,Web,Basic,Yearly,13858.99,2835.23,11023.76,5801.95,3755.44,245.94,Net Banking,0,0,58,3.5,85
1/18/2023,CUST100260,Male,31,UAE,Email,Sales Team,Web,Standard,Quarterly,10184.62,2364.24,7820.38,1376.86,3165.6,1901.33,Credit Card,1,0,35,2.6,95
1/18/2023,CUST100915,Female,21,USA,Organic,Sales Team,Web,Premium,Monthly,1260.03,2684.98,-1424.95,645,3080.98,397.47,Credit Card,0,0,48,3.6,282
1/18/2023,CUST108700,Male,31,UK,Referral,App,Web,Standard,Yearly,11540.23,1689.31,9850.92,2354.08,1276.28,414.01,Net Banking,1,0,48,3,156
1/18/2023,CUST106241,Female,46,India,Email,Sales Team,Mobile,Basic,Monthly,17235.32,405.79,16829.53,5390,1271.45,1647.57,Debit Card,1,0,46,3.6,140
